id,TYPE,APN,Application,SubApp,Temperature,Targetdistance,Wavelength,FiberConnectortype,PowerConsumption,PhysicalDimension,Acronym,CLEICode,Specification,1ABinBOM,RelatedAPN,Vendor1,Vendor1PN,Vendor2,Vendor2PN,Vendor3,Vendor3PN,Vendor4,Vendor4PN,Vendor5,Vendor5PN,BitRate,Txpower,ExtinctionRation,Sensitivity_BacktoBack,Overload,AttenuationRange,PathPenalty,Link,Link2,Sensitivity_FECdisable,Attenuation_range_FECdisable,Maximum_chromatic_dispersion_FECdisable,Sensitivity_FECenable,Maximum_chromatic_dispersion_FECenable,Frequency,FrequencySpacing,Channels,BERObjective_FECenable,BERObjective_FECdisable,OSNRtolerance_withmaxCD_FECenable,OSNRtolerance_withmaxCD_FECdisable,OSNRtolerance_withminCD_FECenable,OSNRtolerance_withminCD_FECdisable,Maximum_chromatic_dispersion,Minimum_chromatic_dispersion,WDMtype,Wavelength_deviation,Txpower_perlane,Txpower_total,Single_rate,Data_rate_per_lane,BERObjective,Source_type,Overload_per_lane,Optical_path_penalty,Maximum_chromatic_dispersion_range_at_upper_wavelength_limit,Minimum_chromatic_dispersion_range_at_lower_wavelength_limit,Dual_rate,Overload_1E_12,Overload_1E_4,Sensitivity_2E_3,Sensitivity_1E_4,Sensitivity_1E_12,OSNR_tolerance_with_CD_2E_3,OSNR_tolerance_with_CD_1E_12,OSNR_tolerance_with_CD_1E_4,OSNR_tolerance_without_CD_2E_3,OSNR_tolerance_without_CD_1E_12,OSNR_tolerance_without_CD_1E_4,Tx_Wavelength,Connectortype,Sensitivity_per_lane_BacktoBack,Attenuation_range_FECenable,Link1_URL,Link2_URL,BERObjective_100GbE,BERObjective_OTU4,Dual_rate_100GbE,Dual_rate_OTU4,Sensitivity_per_lane_100GbE,Sensitivity_per_lane_OTU4,Data_rate_per_lane_100GbE,Data_rate_per_lane_OTU4,Attenuation_range_100GbE,Attenuation_range_OTU4,Optical_path_penalty_100GbE,Optical_path_penalty_OTU4,Link3,Link4,Link5,Link6,Link7
11,SFP,1AB376370004,B&W,SL-16.2, -5/+85,80,1550,SMF,1.1,56.5x13.7x8.5,S2G7D80E,NGI7ANSMAA,SFP L-16.2 -5/+85 (B&W STM-16/OC-48 DDM 1550nm (L-16.2/LR-2)),NA,NA,WTD,RTXM192-500-C48,,,,,,,,,2.488(??20ppm) to 2.67(??20ppm),-2~+3,>8.2,-28,-9,12 to 24,2,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB376370004_1.PNG,1AB376370004_2.PNG,1AB376370004_3.PNG,\N,\N
12,SFP,1AB376370008,B&W,SL-16.2, -40/+85,80,1550,SMF,1.1,56.5x13.7x8.5,S2G7D80I,NGI7AUMMAA,SFP L-16.2 -40/+85 (B&W STM-16/OC-48 DDM 1550nm (L-16.2/LR-2)),NA,NA,WTD,RTXM192-504-C49,,,,,,,,,2.488(??20ppm) to 2.67(??20ppm),-2~+3,>8.2,-28,-9,12 to 24,2,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB376370008_1.PNG,1AB376370008_2.PNG,1AB376370008_3.PNG,\N,\N
13,SFP,1AB376370005,B&W,SS-16.1A, -40/+85,15,1310,SMF,1.1,56.5x13.7x8.5,S2G7M15I,NGI7AMVMAA,SFP S-16.1 ANY RATE -40/+85 (B&W STM-16/OC-48 Multirate (< 2.7G) DDM 1310nm (S-16.1/IR-1)),NA,NA,WTD,RTXM192-466-C49,,,,,,,,,0.1 to 2.67,-5~0,>8.2(9 for bitrates <2.125 Gbps),-18,0,0 to 12,1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB376370005_1.PNG,1AB376370005_2.PNG,\N,\N,\N
14,SFP,1AB376720001,B&W,1000B-SX, -40/+85,0.55,850,MMF,1.1,56.5x13.7x8.5,S1GE05I,NGI7ANPMAA,SFP GBE SX -40/+85 (B&W 1GbE DDM 850nm (1000BASE-SX)),NA,NA,FINISAR,FTLF8519P3BTL-A9,AVAGO,AFBR-5715AQZ-AL2,,,,,,,1.25(??100ppm),-9.5~0,>9,-17,0,0 to 7.5,NA,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,MLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB376720001_1.PNG,1AB376720001_2.PNG,1AB376720001_3.PNG,\N,\N
15,SFP,1AB376720002,B&W,1000B-LX, -40/+85,10,1310,SMF,1.1,56.5x13.7x8.5,S1GE10I,NGI7AMLMAA,SFP GBE LX -40/+85 (B&W 1GbE DDM 1310nm (1000BASE-LX)),NA,NA,WTD,RTXM191-404-C48,Hisense,LTD1302-BH+,,,,,,,1.25(??100ppm),-9~-3,>9,-19.5,-3,0 to 10.5,NA,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,MLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB376720002_1.PNG,1AB376720002_2.PNG,1AB376720002_3.PNG,\N,\N
16,SFP,1AB376720003,B&W,1000B-ZX, -40/+85,80,1550,SMF,1.1,56.5x13.7x8.5,S1GE80I,NGI7AMMMAA,SFP GBE ZX -40/+85 (B&W 1GbE DDM 1550nm (1000BASE-ZX),NA,NA,WTD,RTXM191-507-C48,,,,,,,,,1.25(??100ppm),0~+5,>9,-24,0,5 to 22,2,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB376720003_1.PNG,1AB376720003_2.PNG,1AB376720003_3.PNG,\N,\N
17,SFP,1AB382180001,B&W,100BLX10,-0.470588235,10,1310,SMF,1.1,56.5x13.7x8.5,SFE10I,NGI7APVMAA,SFP 100BASE-LX10,NA,NA,WTD,RTXM139-001-C48,Hisense,LTD1311-BH+,,,,,,,0.125(??50ppm),-15~-8,>5,-29.5,-8,0 to 11,4.5,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,MLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB382180001_1.PNG,1AB382180001_2.PNG,1AB382180001_3.PNG,\N,\N
18,eSFP,1AB359780002,EL,1000B-T,-0.470588235,0.1,NA,RJ45,1.1,70.2x13.7x13.27,1GbET-M,NGI7ASGMAA,EL TRX SFP 10/100/1000BASE-T -40/+85,NA,NA,FINISAR,FCLF8520P2BTL-A9,,,,,,,,,1.25,NA,NA,NA,NA,NA,NA,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/SFP%20specification%20addendum/E%20SFP/1AB359780002_eSFP_1000B-T.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,RJ45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB359780002_1.PNG,\N,\N,\N,\N
19,eSFP,1AB359780003,EL,1000B-T2,-0.470588235,0.1,NA,RJ45,1.1,70.2x13.7x13.27,1GbET-N,WOSAABCDAA,EL TRX SFP 10/100/1000BASE-T -40/+85? P4,NA,NA,Methode,SP7041-ALU-R-L,,,,,,,,,1.25,NA,NA,NA,NA,NA,NA,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/SFP%20specification%20addendum/E%20SFP/1AB359780003_eSFP_1000B-T2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,RJ45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB359780003_1.PNG,\N,\N,\N,\N
20,eSFP,1AK05176AAAA,EL,S1E, -40/+85,0.1,NA,Coaxial,0.65,60.05x13.7x8.5,STM-1E,WOTRDDMTAA,EL TRX SFP STM-1EL,NA,NA,AIMVALLEY,SFP022000R,,,,,,,,,0.155,NA,NA,NA,NA,NA,NA,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/SFP%20specification%20addendum/E%20SFP/1AK05176AAAA_eSFP_STM-155E.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,Coaxial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AK05176AAAA_1.PNG,1AK05176AAAA_2.PNG,\N,\N,\N
21,SFP,1AB393080005,BiDi,GE-BX20U,-0.470588235,20,1260-1360,SMF,0.8,56.5x13.7x8.5,SB1GEU20I,NGI7AWJ2AA,SFP 1000BX / STM-4 20KM UPSTREAM,NA,1AB393080006,OE Solutions,RBT12MLE-IT3,,,,,,,,,0.622 and 1.25,-7~-2,>9,-23,-2,0 to 15,1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/Addendum/SFP%20Biriderctional%20addendum%20rev%203%200.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SLM,,,,,,,,,,,,,,,,,1260 to 1360,,,,,,,,,,,,,,,,,,1AB393080005_1.PNG,1AB393080005_2.PNG,\N,\N,\N
22,SFP,1AB393080006,BiDi,GE-BX20D,-0.470588235,20,1480-1580,SMF,0.8,56.5x13.7x8.5,SB1GED20I,NGI7AWK2AA,SFP 1000BX / STM-4 20KM DOWNSTREAM,NA,1AB393080005,OE Solutions,RBT12MLE-IT4,,,,,,,,,0.622 and 1.25,-7~-2,>9,-23,-2,0 to 15,1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/Addendum/SFP%20Biriderctional%20addendum%20rev%203%200.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SLM,,,,,,,,,,,,,,,,,1480 to 1500,,,,,,,,,,,,,,,,,,1AB393080006_1.PNG,1AB393080006_2.PNG,\N,\N,\N
23,SFP,1AB393080009,BiDi,GE-BX40U,-0.470588235,40,1260-1360,SMF,0.8,56.5x13.7x8.5,SB1GEU40I,NGI7AWG2AA,SFP 1000BX / STM-4 40KM UPSTREAM,NA,1AB393080010,OE Solutions,RBT12MEX-IT3,,,,,,,,,0.622 and 1.25,-3~+2,>9,-25,-3,5 to 21,1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/Addendum/SFP%20Biriderctional%20addendum%20rev%203%200.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SLM,,,,,,,,,,,,,,,,,1260 to 1360,,,,,,,,,,,,,,,,,,1AB393080009_1.PNG,1AB393080009_2.PNG,\N,\N,\N
24,SFP,1AB393080010,BiDi,GE-BX40D,-0.470588235,40,1480-1580,SMF,0.8,56.5x13.7x8.5,SB1GED40I,NGI7AWH2AA,SFP 1000BX / STM-4 40KM DOWNSTREAM,NA,1AB393080009,OE Solutions,RBT12MEX-IT4,,,,,,,,,0.622 and 1.25,-3~+2,>9,-25,-3,5 to 21,1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/Addendum/SFP%20Biriderctional%20addendum%20rev%203%200.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SLM,,,,,,,,,,,,,,,,,1480 to 1500,,,,,,,,,,,,,,,,,,1AB393080010_1.PNG,1AB393080010_2.PNG,\N,\N,\N
25,SFP,1AB393080007,BiDi,FE-BX40U,-0.470588235,40,1260-1360,SMF,0.8,56.5x13.7x8.5,SBFEU40I,NGI7AWM2AA,"100 BASE-BX40-U (FE/STM1, 40km) (Tx 1260??1360nm)",NA,1AB393080008,OE Solutions,RBT02ML1-IT3-1,ATOP,APSB35013IDL40NK,,,,,,,0.125 and 0.155,-5~0,>9,-32,-3,3 to 26,1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/Addendum/SFP%20Biriderctional%20addendum%20rev%203%200.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SLM,,,,,,,,,,,,,,,,,1260 to 1360,,,,,,,,,,,,,,,,,,1AB393080007_1.PNG,1AB393080007_2.PNG,\N,\N,\N
26,SFP,1AB393080008,BiDi,FE-BX40D,-0.470588235,40,1480-1580,SMF,0.8,56.5x13.7x8.5,SBFED40I,NGI7AWL2AA,"100 BASE-BX40-D (FE/STM1, 40km) (Tx 1480??1580nm)",NA,1AB393080007,OE Solutions,RBT02ML1-IT5-1,ATOP,APSB53013IDL40NK,,,,,,,0.125 and 0.155,-5~0,>9,-32,-3,3 to 26,1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/Addendum/SFP%20Biriderctional%20addendum%20rev%203%200.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SLM,,,,,,,,,,,,,,,,,1480 to 1580,,,,,,,,,,,,,,,,,,1AB393080008_1.PNG,1AB393080008_2.PNG,\N,\N,\N
27,SFP,1AB300320001,B&W,3GSDI-SH,-0.071428571,14,1310,SMF,1.1,56.5x13.7x8.5,3GSDI-SH,WOTRCL3TAA,SFP 3G-SDI-SH (14Km),NA,NA,OE Solutions,HTR30PSH-SF3-AL,,,,,,,,,2.97,-6~0,>5,-18,0,0 to 10.5,<1.5,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/Addendum/Alcatel-Lucent_SFP_addendum_6-0%201_Draft_3gsdi.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,MLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB300320001_1.PNG,1AB300320001_2.PNG,\N,\N,\N
28,SFP,1AB300320002,B&W,3GSDI-MH,-0.071428571,20,1310,SMF,1.1,56.5x13.7x8.5,3GSDI-MH,WOTRCL4TAA,SFP 3G-SDI-MH (20Km),NA,NA,OE Solutions,HTR30PMH-ST3-AL,,,,,,,,,2.97,-4~+1,>5,-18,0,1 to 12,<2,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/Addendum/Alcatel-Lucent_SFP_addendum_6-0%201_Draft_3gsdi.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB300320002_1.PNG,1AB300320002_2.PNG,\N,\N,\N
29,SFP,1AB379640001,B&W,4FCSN-I, -5/+85,15,850,MMF,1.1,56.5x13.7x8.5,S4FCM01E,NGI7ANVMAA,SFP FC/2FC/4FC 850NM (B&W 1G/2G/4G Fibre Channel DDM 850nm (SN-I)),NA,NA,FINISAR,FTLF8524P2BNL-AL,,,,,,,,,0.425(??100ppm),-9~0,>6.5,-12.1(OMA),0,0 to 4.1,NA,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,MLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB379640001_1.PNG,1AB379640001_2.PNG,1AB379640001_3.PNG,1AB379640001_4.PNG,\N
30,SFP,1AB379640002,B&W,4FCLC-L, -40/+85,15,1310,SMF,1.1,56.5x13.7x8.5,S4FCM10I,NGI7ANWMAA,SFP FC/2FC/4FC 1300NM (B&W 1G/2G/4G Fibre Channel DDM 1310nm (LC-L)),NA,NA,FINISAR,FTLF1424P2BTR-AL,,,,,,,,,0.425(??100ppm),-8.4~-1,>2.5,-15.4(OMA),-1,0 to 8,NA,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB379640002_1.PNG,1AB379640002_2.PNG,1AB379640002_3.PNG,1AB379640002_4.PNG,\N
